0,52.46,490684,11961
1,45.31,465041,13136
2,51.55,494836,11919
3,51.5,506584,12427
4,47.78,483271,12659
5,49.39,482179,12112
6,56.61,489806,11277
7,50.31,489465,12254
8,53.28,484626,12113
9,46.31,473663,12948
10,46.62,467663,12949
11,48.2,471606,12483
12,48.41,478826,12349
13,48.03,469145,12073
14,51.65,509191,12234
15,44.68,469833,13790
16,49.62,487437,12424
17,65.05,505138,11588
18,53.05,478556,11570
19,46.22,477215,12964
20,115.96,500202,12215
21,114.55,521321,12229
22,49.31,469570,12266
23,52.91,487232,11610
24,56.8,506399,11675
25,51.18,484021,11772
26,49.63,468497,12653
27,51.25,475233,11820
28,49.46,468169,12489
29,50.72,465412,12037
30,48.55,464093,12266
31,47.34,465877,12631
32,62.69,501112,12078
33,48.31,485022,12533
34,47.73,480576,12744
35,50.38,482709,12270
36,51.31,499461,11758
37,79.9,543769,12456
38,61.22,497362,12289
39,54.5,503717,11837
40,49.29,475836,12298
41,49.65,499715,12881
42,67.79,472101,11989
43,87.93,498740,12414
44,49.11,495167,12437
45,54.15,491305,12043
46,45.76,483011,12737
47,48.29,469163,12496
48,56.63,492825,11695
49,50.2,466468,13179
50,52.93,490669,12113
51,52.19,494960,12096
52,83.09,500149,11828
53,52.19,499265,12330
54,104.69,503154,12719
55,46.93,477300,12647
56,54.89,499242,11766
57,49.22,494850,12675
58,49.41,490666,12692
59,51.29,492139,11968
60,49.83,482022,12654
61,46.83,483484,12882
62,48.68,474517,12869
63,51.93,490394,12058
64,48.51,469503,12736
65,50.5,466882,12230
66,56.82,476032,11789
67,82.01,536480,12140
68,52.25,492986,12919
69,57.29,510368,11790
70,54.19,486241,12059
71,49.13,484040,12193
72,47.92,477301,12701
73,54.31,485754,12576
74,47.07,477753,13120
75,48.67,463406,12393
76,58.85,483722,12386
77,46.08,460035,12568
78,96.77,508479,12361
79,48.63,487760,12735
80,51.99,493021,12004
81,54.95,491185,12151
82,54.62,471345,11851
83,54.54,499853,12192
84,78.6,499080,12361
85,52.28,479287,11826
86,50.53,490367,12259
87,52.41,471234,12689
88,46.37,467873,12873
89,49.44,479948,12766
90,50.84,506959,12592
91,121.58,519530,11618
92,51.91,492716,12071
93,68.26,496096,12405
94,52.13,478483,12052
95,53.3,489796,11870
96,52.16,490598,11917
97,52.03,486378,11760
98,68.53,482820,12583
99,50.95,460526,11574
100,59.2,484445,12260
101,67.57,501986,13106
102,53.67,493934,11797
103,45.49,461224,12962
104,59.91,499625,12511
105,55.6,508557,11806
106,85.09,481181,12247
107,47.45,501880,12814
108,55.82,481374,11466
109,54.26,499922,12314
110,53.72,485056,11887
111,51.33,473535,11775
112,51.46,514080,12576
113,48.41,494722,12705
114,44.3,466114,13527
